pair,window_id,train_end,test_start,test_end,train_rows,test_rows,mae,rmse,dir_acc,accuracy,precision,recall,f1
GBPJPY,35,2024-10-17,2024-10-17,2024-11-27,15725,180,0.00183,0.002464,0.5722,0.5722,0.5526,0.7079,0.6207
GBPJPY,36,2024-11-27,2024-11-27,2025-01-08,15905,180,0.001877,0.0026,0.5278,0.5333,0.5789,0.5556,0.567
GBPJPY,37,2025-01-08,2025-01-09,2025-02-18,16085,180,0.001981,0.002681,0.5167,0.5167,0.5042,0.6818,0.5797
GBPJPY,38,2025-02-18,2025-02-19,2025-03-31,16265,180,0.001994,0.002703,0.55,0.55,0.5521,0.5824,0.5668
GBPJPY,39,2025-03-31,2025-04-01,2025-05-11,16445,180,0.001918,0.002974,0.6167,0.6167,0.5604,0.6375,0.5965
GBPJPY,40,2025-05-11,2025-05-12,2025-06-20,16625,180,0.001501,0.00199,0.4889,0.4889,0.4715,0.6824,0.5577
GBPJPY,41,2025-06-20,2025-06-20,2025-07-31,16805,180,0.001242,0.00173,0.5056,0.5056,0.5172,0.6452,0.5742
GBPJPY,42,2025-07-31,2025-07-31,2025-09-10,16985,180,0.001212,0.001718,0.4889,0.4944,0.5204,0.5368,0.5285
GBPJPY,43,2025-09-10,2025-09-10,2025-10-21,17165,180,0.001109,0.001716,0.5278,0.5278,0.5347,0.587,0.5596
GBPJPY,44,2025-10-21,2025-10-21,2025-12-01,17345,180,0.001258,0.001663,0.5389,0.55,0.55,0.6044,0.5759
GBPJPY,45,2025-12-01,2025-12-01,2026-01-12,17525,180,0.001029,0.001365,0.5222,0.5222,0.54,0.5745,0.5567
GBPJPY,46,2026-01-12,2026-01-12,2026-02-20,17705,180,0.001642,0.002328,0.5056,0.5056,0.5424,0.6465,0.5899
GBPJPY,47,2026-02-20,2026-02-20,2026-04-02,17885,180,0.00128,0.001665,0.4667,0.4667,0.4828,0.4516,0.4667
GBPJPY,48,2026-04-02,2026-04-02,2026-04-10,18065,34,0.00095,0.001269,0.3824,0.3824,0.4,0.2105,0.2759
XAUUSD,1,2020-12-31,2021-01-03,2021-02-11,9534,180,0.002789,0.003899,0.5722,0.5722,0.5577,0.6517,0.601
XAUUSD,2,2021-02-11,2021-02-12,2021-03-24,9714,180,0.002684,0.003527,0.5778,0.5778,0.575,0.5227,0.5476
XAUUSD,3,2021-03-24,2021-03-25,2021-05-05,9894,180,0.001901,0.002795,0.5556,0.5556,0.5304,0.7011,0.604
XAUUSD,4,2021-05-05,2021-05-06,2021-06-15,10074,180,0.002008,0.003216,0.5389,0.5389,0.5203,0.7273,0.6066
XAUUSD,5,2021-06-15,2021-06-16,2021-07-26,10254,180,0.00226,0.003211,0.5444,0.5444,0.5408,0.5889,0.5638
XAUUSD,6,2021-07-26,2021-07-27,2021-09-05,10434,180,0.001913,0.003275,0.5444,0.5444,0.5167,0.7209,0.6019
XAUUSD,7,2021-09-05,2021-09-06,2021-10-15,10614,180,0.002142,0.003086,0.5722,0.5722,0.4941,0.5526,0.5217
XAUUSD,8,2021-10-15,2021-10-15,2021-11-25,10794,180,0.002217,0.00327,0.5444,0.5444,0.5775,0.4409,0.5
XAUUSD,9,2021-11-25,2021-11-25,2022-01-06,10974,180,0.001696,0.002384,0.5611,0.5611,0.5631,0.6304,0.5949
XAUUSD,10,2022-01-06,2022-01-06,2022-02-16,11154,180,0.001975,0.002935,0.5056,0.5056,0.5109,0.5165,0.5137
XAUUSD,11,2022-02-16,2022-02-16,2022-03-29,11334,180,0.003608,0.005123,0.4667,0.4667,0.4844,0.3298,0.3924
XAUUSD,12,2022-03-29,2022-03-29,2022-05-10,11514,180,0.002378,0.003165,0.5222,0.5222,0.4881,0.4881,0.4881
XAUUSD,13,2022-05-10,2022-05-10,2022-06-20,11694,180,0.002573,0.003812,0.55,0.5556,0.5213,0.5833,0.5506
XAUUSD,14,2022-06-20,2022-06-20,2022-07-29,11874,180,0.002012,0.003093,0.6,0.6,0.5664,0.7356,0.64
XAUUSD,15,2022-07-29,2022-07-29,2022-09-08,12054,180,0.002067,0.002795,0.5667,0.5667,0.5258,0.6145,0.5667
XAUUSD,16,2022-09-08,2022-09-08,2022-10-19,12234,180,0.002837,0.003995,0.6167,0.6167,0.6164,0.5233,0.566
XAUUSD,17,2022-10-19,2022-10-19,2022-11-29,12414,180,0.002673,0.00395,0.5667,0.5667,0.5426,0.593,0.5667
XAUUSD,18,2022-11-29,2022-11-29,2023-01-11,12594,180,0.002291,0.003162,0.6056,0.6056,0.6559,0.61,0.6321
XAUUSD,19,2023-01-11,2023-01-11,2023-02-21,12774,180,0.002296,0.00326,0.6278,0.6278,0.5741,0.747,0.6492
XAUUSD,20,2023-02-21,2023-02-21,2023-04-03,12954,180,0.002581,0.003709,0.6667,0.6667,0.7113,0.6832,0.697
XAUUSD,21,2023-04-03,2023-04-03,2023-05-15,13134,180,0.002439,0.00361,0.5611,0.5611,0.6,0.4787,0.5325
XAUUSD,22,2023-05-15,2023-05-15,2023-06-23,13314,180,0.002063,0.003051,0.5333,0.5333,0.5,0.4643,0.4815
XAUUSD,23,2023-06-23,2023-06-23,2023-08-03,13494,180,0.001619,0.002476,0.5889,0.5889,0.6203,0.5269,0.5698
XAUUSD,24,2023-08-03,2023-08-03,2023-09-13,13674,180,0.001202,0.001708,0.5778,0.5833,0.5217,0.6076,0.5614
XAUUSD,25,2023-09-13,2023-09-13,2023-10-24,13854,180,0.001919,0.002752,0.55,0.55,0.5714,0.5532,0.5622
XAUUSD,26,2023-10-24,2023-10-24,2023-12-04,14034,180,0.002154,0.003652,0.5889,0.5889,0.5783,0.5517,0.5647
XAUUSD,27,2023-12-04,2023-12-05,2024-01-16,14214,180,0.002084,0.002906,0.5833,0.5889,0.6056,0.4831,0.5375
XAUUSD,28,2024-01-16,2024-01-17,2024-02-26,14394,180,0.001639,0.002426,0.5111,0.5111,0.5545,0.5657,0.56
XAUUSD,29,2024-02-26,2024-02-27,2024-04-08,14574,180,0.002478,0.003736,0.5389,0.5389,0.6765,0.4299,0.5257
XAUUSD,30,2024-04-08,2024-04-09,2024-05-19,14754,180,0.002716,0.003868,0.5333,0.5333,0.5579,0.5579,0.5579
XAUUSD,31,2024-05-19,2024-05-20,2024-06-28,14934,180,0.002224,0.003271,0.5722,0.5722,0.5567,0.6136,0.5838
XAUUSD,32,2024-06-28,2024-06-28,2024-08-08,15114,180,0.002444,0.003669,0.5167,0.5167,0.566,0.5941,0.5797
XAUUSD,33,2024-08-08,2024-08-08,2024-09-18,15294,180,0.00195,0.002702,0.5778,0.5778,0.6552,0.6786,0.6667
XAUUSD,34,2024-09-18,2024-09-18,2024-10-29,15474,180,0.002205,0.003069,0.55,0.55,0.6163,0.5248,0.5668
XAUUSD,35,2024-10-29,2024-10-29,2024-12-09,15654,180,0.002751,0.004213,0.5056,0.5056,0.505,0.5667,0.534
XAUUSD,36,2024-12-09,2024-12-09,2025-01-21,15834,180,0.002193,0.003142,0.5444,0.5444,0.6,0.5644,0.5816
XAUUSD,37,2025-01-21,2025-01-21,2025-03-03,16014,180,0.00244,0.003416,0.5167,0.5222,0.5702,0.6699,0.6161
XAUUSD,38,2025-03-03,2025-03-03,2025-04-11,16194,180,0.003076,0.004489,0.55,0.55,0.5827,0.7788,0.6667
XAUUSD,39,2025-04-11,2025-04-11,2025-05-23,16374,180,0.004413,0.00574,0.65,0.65,0.672,0.7925,0.7273
XAUUSD,40,2025-05-23,2025-05-23,2025-07-03,16554,180,0.002811,0.003858,0.5944,0.5944,0.5704,0.837,0.6784
XAUUSD,41,2025-07-03,2025-07-03,2025-08-13,16734,180,0.002186,0.002994,0.5111,0.5111,0.5046,0.618,0.5556
XAUUSD,42,2025-08-13,2025-08-13,2025-09-23,16914,180,0.002255,0.003144,0.5444,0.5444,0.5804,0.65,0.6132
XAUUSD,43,2025-09-23,2025-09-23,2025-11-03,17094,180,0.004554,0.006246,0.5722,0.5722,0.6778,0.5596,0.6131
XAUUSD,44,2025-11-03,2025-11-03,2025-12-12,17274,180,0.003431,0.004504,0.5611,0.5611,0.5646,0.8469,0.6776
XAUUSD,45,2025-12-12,2025-12-12,2026-01-26,17454,180,0.003687,0.004939,0.5222,0.5222,0.5524,0.7822,0.6475
XAUUSD,46,2026-01-26,2026-01-26,2026-03-06,17634,180,0.00759,0.011869,0.5778,0.5778,0.6063,0.7476,0.6696
XAUUSD,47,2026-03-06,2026-03-06,2026-04-10,17814,146,0.007103,0.010184,0.4932,0.4932,0.4545,0.4412,0.4478
